Name,Age,Gender,Income,JoinDate,Subscription,Email,Country,Feedback
David,twenty,,90576,2020-02-16,,,USA,
David,,,64288,2018-02-21,,,Canada,
Bob,twenty,,39551,2019-04-17,,,,
Charlie,twenty,Female,unknown,2021-04-08,,,India,Bad
Alice,-5,,unknown,2023-09-18,,,India,
Eva,19,,-3000,2019-07-29,N,,UK,Bad
,,Female,86077,2021-12-14,0,user43@mail.com,India,
Charlie,,M,unknown,2023-04-08,0,,USA,Good
Charlie,-5,F,31110,2022-06-03,No,,Canada,Average
David,,f,68653,,,,India,
Charlie,twenty,M,unknown,2019-09-01,Yes,user6@mail.com,,
Charlie,twenty,,-3000,2023-07-30,Y,,India,
Henry,-5,Male,unknown,2018-04-04,No,,Canada,Average
,41,m,unknown,2023-05-29,1,user19@mail.com,UK,
Henry,-5,m,unknown,,Yes,user25@mail.com,USA,
Bob,,f,,2021-01-06,N,,UK,Bad
Charlie,,Female,-3000,2021-08-01,0,,UK,
Frank,,,81339,2020-04-16,Y,user30@mail.com,USA,Bad
Eva,,Male,,2019-06-17,Yes,,UK,Bad
Alice,,f,-3000,invalid_date,No,,USA,Bad
Bob,,F,unknown,2021-09-26,,,,
David,twenty,,-3000,2020-07-22,,user20@mail.com,India,Bad
Frank,,,54617,invalid_date,0,user22@mail.com,India,
Alice,-5,,unknown,2022-09-11,,,UK,
,-5,m,-3000,2018-01-16,,,,
,,M,,2023-02-10,0,user32@mail.com,UK,Good
Henry,twenty,F,20726,2018-06-21,0,,Canada,Bad
,,F,,2023-12-14,0,,,
David,-5,M,-3000,invalid_date,N,,India,Average
Bob,40,,-3000,2021-02-28,No,user35@mail.com,India,Good
Grace,,M,unknown,invalid_date,0,user10@mail.com,UK,
Eva,-5,M,72035,2021-02-10,,user23@mail.com,India,Bad
Henry,45,M,95298,2022-10-30,Yes,,Canada,
David,,f,-3000,,Yes,,India,Average
Alice,,Male,,2018-10-14,Yes,,,
Alice,twenty,Female,unknown,2023-03-24,,user17@mail.com,USA,Good
Alice,22,M,73683,,Y,user27@mail.com,Canada,Good
Grace,21,F,,2018-01-25,N,,India,Bad
Charlie,twenty,f,-3000,2018-06-05,,user36@mail.com,USA,Bad
Eva,35,m,56372,2021-09-16,N,,UK,Bad
Henry,twenty,,unknown,2020-11-27,,,Canada,
Charlie,,m,34524,2021-06-18,N,,,
Eva,twenty,,,2018-09-18,N,,,
Frank,36,Female,67555,2020-11-01,,,,Good
Henry,twenty,F,,2023-12-23,Yes,,,Good
Grace,,f,,2023-08-07,,,USA,Good
Henry,56,,unknown,2020-02-25,,,UK,Average
,36,Male,-3000,2019-09-19,N,,Canada,
Charlie,,Male,-3000,2022-06-11,Yes,,India,Average
Bob,,M,-3000,2019-04-26,,,,Average
Frank,,Female,41823,2020-03-10,,user14@mail.com,Canada,
,twenty,f,-3000,,N,,UK,
,27,M,,2021-11-29,N,,India,Average
Frank,48,m,-3000,2019-05-23,,,Canada,Good
Bob,twenty,f,,2022-07-23,Y,,Canada,
Frank,-5,,-3000,2022-12-27,,,India,
Charlie,,,33376,2018-11-15,0,,USA,
,twenty,m,64487,invalid_date,No,,UK,
Alice,,M,57072,2023-08-23,Yes,user23@mail.com,UK,Good
Eva,twenty,Male,-3000,2021-10-31,Yes,user41@mail.com,,
David,,f,73809,2018-11-05,,,USA,Bad
Grace,twenty,M,60169,invalid_date,1,user10@mail.com,India,Average
,,m,,2019-04-27,,,,
Alice,,F,24827,2023-10-28,Y,,USA,Bad
Grace,,M,-3000,2023-04-08,,,India,
Frank,-5,Male,-3000,2023-09-16,Yes,,India,
Charlie,,F,unknown,2022-11-02,N,,,
Charlie,twenty,Male,21777,2018-05-20,Yes,,,
Eva,-5,F,22292,2019-08-27,Y,user23@mail.com,India,Bad
Frank,-5,M,59473,2020-09-08,,user13@mail.com,Canada,
David,,m,-3000,2019-01-06,1,,India,Bad
David,,,-3000,2021-06-16,Y,,,
Alice,,M,-3000,2023-07-08,,user45@mail.com,USA,Bad
David,,,-3000,2020-05-13,No,,,Bad
,53,Male,unknown,2018-06-25,Yes,user8@mail.com,India,
Frank,25,Male,,2018-03-22,0,user5@mail.com,,Average
Frank,,Female,,2019-03-31,0,,UK,Average
Bob,42,Female,,2018-08-15,Yes,,Canada,Bad
Charlie,twenty,,54623,2021-04-28,,user39@mail.com,Canada,
,-5,F,unknown,2021-07-24,Y,,,Good
Eva,,Male,,2020-08-01,Yes,,UK,
Grace,twenty,Female,99572,2023-05-23,,,,Average
Bob,,,-3000,,1,,Canada,Average
Henry,,Female,-3000,2019-10-15,0,,Canada,
Frank,-5,Female,,2023-02-18,,,UK,
Bob,44,F,,2023-06-07,N,,India,Average
,,Female,,invalid_date,Y,,India,Bad
Frank,50,m,-3000,2021-02-11,No,user19@mail.com,,Good
Charlie,twenty,F,unknown,invalid_date,1,user28@mail.com,,Average
Frank,,Female,-3000,2022-08-04,N,,Canada,
Charlie,twenty,F,,2018-10-23,,user7@mail.com,USA,Bad
Grace,31,Male,unknown,2021-07-08,1,,,Average
,,,27709,2023-06-26,No,,,Average
Henry,-5,m,37719,2023-12-13,0,,UK,
Bob,,,,invalid_date,,,UK,Bad
Bob,37,F,35850,invalid_date,,,USA,Good
David,twenty,m,98631,2020-12-15,Y,user26@mail.com,UK,Average
Bob,-5,F,unknown,2023-05-18,Y,user14@mail.com,Canada,
Eva,,m,,2021-11-05,,user45@mail.com,UK,Good
Eva,57,F,80658,,0,,India,Average
